UNIVERSITY_ID (FK),CAMPUS_ID (FK),STUDENT_NUMBER,TITLE,FIRST_NAME,PREFERRED_NAME,LAST_NAME,ADDRESS_LINE_1,ADDRESS_LINE_2,CITY,POSTCODE,STATE,COUNTRY,DATE_OF_BIRTH,PHONE_NUMBER,STUDENT_EMAIL,GENDER,BSB,ACCOUNT_NUMBER,FIELD_OF_STUDY_CODE,COUNTRY_OF_BIRTH,INDIGENOUS_AUSTRALIAN,DISABILITY,AUS_CITIZEN,CITIZENS_PR,NOTES
4,4,34255154,Mrs,Jesse,null,Harper,0155 Isabel Avenue,null,Dunnstown,3352,VIC,Australia,22/08/1998,455260414,34255154@student.curtin.edu.au,Female,38652,403870772,Bachelor of Science,Australia,null,no,yes,1,null
4,3,27641252,Mr,Connar,null,Eastwood,051 Natalie Station St,null,Croydon Park South,5008,SA,Australia,19/03/1995,434406368,27641252@student.curtin.edu.au,Female,20914,478659355,Bachelor of Philosophy,Australia,yes,yes,no,1,null
6,6,36482567,Mrs,Warwick,null,Davenport,51 Davies Manor,null,West Wodonga,3690,VIC,Australia,24/02/2001,465536833,36482567@student.deakin.edu.au,Male,41106,406556385,Bachelor of Law,Australia,no,no,yes,1,null
1,1,45743654,Mrs,Tanya,null,Sumner,53 Annabelle Crescent,null,Yeerongpilly,4105,QLD,Australia,19/11/2001,444563832,45743654@student.uwa.edu.au,Female,23378,388212895,Bachelor of Arts,Australia,no,null,yes,1,Peanut allergy
2,2,42676831,Mr ,Albi,null,Finnegan,2923 Crooks Drive,null,East Launceston,7250,TAS,Australia,22/07/1998,480158119,42676831@student.unsw.edu.au,Male,36001,434315043,Bachelor of Biomedical Science,Australia,null,no,yes,0,null
5,5,22952524,Mrs,Nasir,Nasir,House,89 Madison Court,null,Kudardup,6290,WA,Australia,7/03/1999,471448699,22952524@student.usc.edu.au,Male,31915,488336331,Master of Mechanical Engineering,Australia,yes,no,yes,0,null
1,1,30320730,Mr,Arlene,Arlene,Clemons,2206 Khan Summit,null,Bowraville,2449,NSW,Australia,29/08/1997,464266367,30320730@student.uwa.edu.au,Male,37820,376761435,Bachelor of Commerce,Australia,null,null,yes,1,null
4,4,44152698,Mrs,Shivani,Shivani,Mccullough,41 Cole Island,null,Howrah,7018,TAS,Australia,7/01/2002,470348898,44152698@student.curtin.edu.au,Female,35750,451599177,Bachelor of Science,Australia,null,no,yes,1,null
4,3,27809377,Mrs,Courteney,null,Burris,073 Jacob Square,null,Mullumbimby,2482,NSW,Australia,1/02/2000,445857637,27809377@student.curtin.edu.au,Female,37580,483752218,Bachelor of Philosophy,Australia,yes,yes,no,1,null
6,6,28854924,Mr ,Ramone,null,Dunkley,172 Cooper Mews,null,Spalding,5454,SA,Australia,25/05/1995,465652582,28854924@student.deakin.edu.au,Male,16005,371041213,Bachelor of Law,Australia,no,no,yes,0,null
1,1,29956626,Mrs,Elsa,null,Meyer,06 Sauer Estate Dr,null,Barragga Bay,2546,NSW,Australia,20/03/1996,467970750,29956626@student.uwa.edu.au,Female,43965,485434335,Bachelor of Arts,Australia,no,null,yes,1,Peanut allergy
2,2,30133264,Mr,Wesley,null,Hayes,48 Evie Island,null,Mount Elliot,2250,NSW,Australia,21/02/1996,461321526,30133264@student.unsw.edu.au,Male,36928,415958822,Bachelor of Biomedical Science,Australia,null,no,yes,0,null
5,5,47897981,Mrs,Saif,null,Power,9656 Jake Summit,null,Indigo Valley,3688,VIC,Australia,31/08/1999,489033083,47897981@student.usc.edu.au,Male,36737,458103988,Master of Mechanical Engineering,Australia,yes,no,yes,1,null
1,1,32956790,Mrs,Briana,null,Rangel,43 Clark Lane,null,Tibooburra,2880,NSW,Australia,10/08/2001,448101170,32956790@student.uwa.edu.au,Male,40745,441012539,Bachelor of Commerce,Australia,null,null,yes,1,null
4,4,32461518,Mr ,Rukhsar,null,Turnbull,6573 Doherty Summit,null,Callaghan,2308,NSW,Australia,1/08/1997,435476856,32461518@student.curtin.edu.au,Female,21421,429724626,Bachelor of Science,Australia,null,no,yes,1,null
4,3,40098012,Mrs,Leroy,null,Holland,76 Hammes Court,null,Goldsborough,3472,VIC,Australia,1/01/2001,457369905,40098012@student.curtin.edu.au,Female,48397,490850439,Bachelor of Philosophy,Australia,yes,yes,no,0,null
6,6,40949397,Mr,Erik,null,Stacey,636 Owen Avenue,null,Yarragong,2871,NSW,Australia,2/01/2001,480052704,40949397@student.deakin.edu.au,Male,40439,426894260,Bachelor of Law,Australia,no,no,yes,1,null
1,1,42849994,Mrs,Arnold,null,Swanson,40 Wilderman Manor,null,West Toodyay,6566,WA,Australia,29/09/2000,436209252,42849994@student.uwa.edu.au,Female,27156,469717798,Bachelor of Arts,Australia,no,null,yes,1,Peanut allergy
2,2,44177303,Mrs,Kianna,null,Connolly,556 Callum Station St,null,Yabbra,2469,NSW,Australia,26/07/1995,439524575,44177303@student.unsw.edu.au,Male,15308,458440825,Bachelor of Biomedical Science,Australia,null,no,yes,0,null
5,5,23303853,Mr ,Buster,Buster,Soto,803 Stokes Manor,null,Forrestania,6359,WA,Australia,21/07/2002,473658007,23303853@student.usc.edu.au,Male,21910,499529625,Master of Mechanical Engineering,Australia,yes,no,yes,1,null
1,1,34173450,Mrs,Scarlett,Scarlett,Hayward,09 Hansen View Rd,null,Kenmare,6316,WA,Australia,23/04/2000,455116970,34173450@student.uwa.edu.au,Male,34281,431811485,Bachelor of Commerce,Australia,null,null,yes,1,null
4,4,34723400,Mr,Katherine,Katherine,Fenton,2453 Boyer View Rd,null,Yamanto,4305,QLD,Australia,5/02/1995,439857065,34723400@student.curtin.edu.au,Female,14798,371139555,Bachelor of Science,Australia,null,no,yes,1,null
4,3,44928740,Mrs,Taybah,null,Dougherty,0811 Savannah Circle,null,Kudardup,6290,WA,Australia,13/04/1997,434463200,44928740@student.curtin.edu.au,Female,33415,485894680,Bachelor of Philosophy,Australia,yes,yes,no,0,null
6,6,37054198,Mrs,Frankie,null,Pacheco,2244 Kayla Pass,null,Bells Creek,4551,QLD,Australia,25/06/2002,448507350,37054198@student.deakin.edu.au,Male,31694,366679637,Bachelor of Law,Australia,no,no,yes,1,null
1,1,34010244,Mr ,Lacey-Mai,null,Sullivan,52 Klein Crescent,null,Vittoria,6230,WA,Australia,7/08/1995,464161940,34010244@student.uwa.edu.au,Female,19961,433026260,Bachelor of Arts,Australia,no,null,yes,1,Peanut allergy
2,2,30502956,Mrs,Danika,null,Hirst,67 Welch Avenue,null,Marrara,812,NT,Australia,28/07/1996,430960604,30502956@student.unsw.edu.au,Male,12732,432815235,Bachelor of Biomedical Science,Australia,null,no,yes,0,null
5,5,23315616,Mr,Parker,null,Reynolds,81 Savannah Boulevard,null,Lindfield,2070,NSW,Australia,31/07/2001,441386103,23315616@student.usc.edu.au,Male,31764,464415052,Master of Mechanical Engineering,Australia,yes,no,yes,1,null
1,1,24269383,Mrs,Muskaan,Muskaan,Snyder,8876 Riley Run,null,Gundaring,6315,WA,Australia,16/04/1998,442728032,24269383@student.uwa.edu.au,Male,13150,471823333,Bachelor of Commerce,Australia,null,null,yes,1,null
4,4,25301699,Mrs,Rae,null,Rowland,193 Justin Lane,null,Tidal River,3960,VIC,Australia,6/08/1998,480390301,25301699@student.curtin.edu.au,Female,48621,448170686,Bachelor of Science,Australia,null,no,yes,0,null
4,3,48083709,Mr ,Nylah,null,North,56 Shields Run,null,Minnamurra,2533,NSW,Australia,3/09/1998,449649321,48083709@student.curtin.edu.au,Female,27174,395545239,Bachelor of Philosophy,Australia,yes,yes,no,1,null
6,6,26513544,Mrs,Rima,null,Mac,01 Aaron Summit,null,Allambee Reserve,3871,VIC,Australia,5/05/1997,445830403,26513544@student.deakin.edu.au,Male,42610,405474173,Bachelor of Law,Australia,no,no,yes,1,null
1,1,40109712,Mr,Denis,null,Norris,790 Maya Manor,null,Forest Lake,4078,QLD,Australia,16/09/1998,483369179,40109712@student.uwa.edu.au,Female,41455,359987425,Bachelor of Arts,Australia,no,null,yes,0,Peanut allergy
2,2,29492377,Mrs,Sid,null,Stanley,1788 Andrew Junction,null,Sapphire,4702,QLD,Australia,20/02/2000,473825909,29492377@student.unsw.edu.au,Male,40792,463472150,Bachelor of Biomedical Science,Australia,null,no,yes,1,null
5,5,24912890,Mrs,Nana,Nana,Maddox,250 Maddison Meadow,null,Lenah Valley,7008,TAS,Australia,11/11/2002,483440889,24912890@student.usc.edu.au,Male,37916,486391125,Master of Mechanical Engineering,Australia,yes,no,yes,1,null
1,1,35137499,Mr ,Jordan,Jordan,Winters,545 Mia Meadow,null,Parramatta Park,4870,QLD,Australia,8/02/2000,461538672,35137499@student.uwa.edu.au,Male,37052,491848275,Bachelor of Commerce,Australia,null,null,yes,1,null
4,4,40911608,Mrs,Abbey,null,Hansen,3650 Kovacek Mall,null,Charlotte Cove,7112,TAS,Australia,23/07/1999,435296410,40911608@student.curtin.edu.au,Female,20749,417467651,Bachelor of Science,Australia,null,no,yes,1,null
